Kh_over_J2,m3
0.1,0.04837286215854035
0.3,0.12294520919988117
0.5,0.18953741621706466
0.7,0.21208372539672965
0.8999999999999999,0.22883517744722556
1.1,0.22747601637374854
1.3,0.2296358202489639
1.5000000000000002,0.23310972510531913
1.7000000000000002,0.24610295242819008
1.9,0.26899915549076336
2.1,0.2861073310515645
2.3000000000000003,0.30290347376336174
2.5,0.3265404919009962
2.7,0.3482787553922118
2.9000000000000004,0.3799849826892819
3.1,0.4078829646385871
3.3000000000000003,0.428499794742555
3.5000000000000004,0.44571454850692854
3.7,0.45715526948779206
3.9000000000000004,0.4583168913353998
4.1000000000000005,0.4676275056598685
4.3,0.4711539447490769
4.5,0.4741340551103084
4.7,0.48112828582836176
4.9,0.4777682442033143
5.1,0.48358962191584837
5.300000000000001,0.48552942756448014
5.5,0.48219884193049756
5.700000000000001,0.49082270666084593
5.8999999999999995,0.48806935540381047
6.1,0.4860911476256026
6.3,0.49284341723083264
6.5,0.4899485297705848
6.7,0.492077909929603
6.9,0.49249012436548323
7.1000000000000005,0.48976206935989824
7.3,0.49708129211532015
7.5,0.493559741499386
7.7,0.4901228218474025
7.9,0.4978500663736477
8.100000000000001,0.4950104284735984
8.3,0.49360424309915957
8.5,0.49617022109152104
8.7,0.4944914174099133
8.9,0.49828484148317026
9.1,0.4956921888467352
9.3,0.4930465329025474
9.5,0.5003736957725267
9.7,0.49689716877299084
9.9,0.4937117609282935
