Jt,m3_plus_q4
0.05,0.9957499466134518
0.1,0.9869464242487342
0.15000000000000002,0.9817244056251697
0.2,0.9848567591080427
0.25,0.9933758451510646
0.30000000000000004,0.9992868245244199
0.35000000000000003,0.996972951410824
0.4,0.9884557747913976
0.45,0.9814824698131531
0.5,0.9823184821735855
0.55,0.9899924081265847
0.6000000000000001,0.9971702088764535
0.65,0.9969308048318346
0.7000000000000001,0.9892419566260536
0.75,0.9809634894053247
0.8,0.9794426473610346
0.8500000000000001,0.9857595515122276
0.9,0.9937175590522639
0.9500000000000001,0.9955449663146284
1.0,0.9891614294151225
1.05,0.9801003587058851
1.1,0.9763119919587206
1.1500000000000001,0.9808446164795277
1.2000000000000002,0.9890368312174216
1.25,0.9927780886947466
1.3,0.9880805415761156
1.35,0.9787998497495589
1.4000000000000001,0.9729758265159038
1.4500000000000002,0.975411222932317
1.5,0.9832700948788219
1.55,0.9886373120869436
1.6,0.9858854685419968
1.6500000000000001,0.9769506261905013
1.7000000000000002,0.9694479443229863
1.75,0.9696086152230469
1.8,0.976584885336906
1.85,0.9831749910538453
1.9000000000000001,0.9824909258337192
1.9500000000000002,0.9744326229020411
2.0,0.965707664802331
2.0500000000000003,0.9635624456505929
2.1,0.969163842778925
2.15,0.9764867327108893
2.2,0.9778472135583082
2.25,0.9711270014625181
2.3000000000000003,0.961703771094538
2.35,0.9573678299186207
2.4000000000000004,0.9611933743595024
2.45,0.9687067171297963
2.5,0.9719452439413168
2.5500000000000003,0.9669259776499786
2.6,0.9573608179725018
2.6500000000000004,0.9510852548444277
2.7,0.9528522702187378
2.75,0.9600004386441539
2.8000000000000003,0.9648192493857027
2.85,0.9617419475616709
2.9000000000000004,0.9525871235412886
2.95,0.9447395715285074
3.0,0.94430128534441
3.0500000000000003,0.950555250827254
3.1,0.9565469023800183
3.1500000000000004,0.9555154541644071
3.2,0.9472837278094034
3.25,0.9383219446882352
3.3000000000000003,0.9356746226117064
3.35,0.9405693794004961
3.4000000000000004,0.9472466548824612
3.45,0.9482215985796253
3.5,0.9413536722460368
3.5500000000000003,0.9317943311918008
3.6,0.9270740186915251
3.6500000000000004,0.9302403149189081
3.7,0.937072267626667
3.75,0.9398745109177696
3.8000000000000003,0.9347110684942033
3.85,0.9250958838984039
3.9000000000000004,0.918565791503455
3.95,0.919753633556666
4.0,0.926204757781318
4.05,0.9305294925111885
4.1000000000000005,0.927289519681424
4.15,0.9181506346964392
4.2,0.9101808357952589
4.25,0.9092732660672238
4.3,0.914842309387913
4.3500000000000005,0.920282483956236
4.4,0.919049494199619
4.45,0.9108758732318935
4.5,0.9019172382473076
4.55,0.898934033981168
4.6000000000000005,0.9031889911412854
4.65,0.9092666529058441
4.7,0.909984228047583
4.75,0.9031907452621432
4.800000000000001,0.8937449880381427
4.8500000000000005,0.8888369415733965
4.9,0.8914433250465099
4.95,0.8976461489994798
5.0,0.9001236867503946
5.050000000000001,0.895024681224503
5.1000000000000005,0.8856122027851671
5.15,0.8790473334935791
5.2,0.8797877819109836
5.25,0.8856074093759686
5.300000000000001,0.8895361149039426
5.3500000000000005,0.886325286306376
5.4,0.8774523460006933
5.45,0.8695956933813103
5.5,0.8683801255491884
5.550000000000001,0.8733487433170807
5.6000000000000005,0.8783268006006845
5.65,0.8770652721258765
5.7,0.8691920195864279
5.75,0.8604806400836151
5.800000000000001,0.8573472220113799
5.8500000000000005,0.8610691867635888
5.9,0.8666339111971444
5.95,0.8672479242006466
6.0,0.8607590030441508
6.050000000000001,0.8516736035886404
6.1000000000000005,0.8467815526889524
6.15,0.8489577189920162
6.2,0.8546215942632314
6.25,0.8569105451868627
6.300000000000001,0.8520902278000098
6.3500000000000005,0.8431247106996999
6.4,0.8367403180619724
6.45,0.8371838400906416
6.5,0.8424709136876458
6.550000000000001,0.8461253600429561
6.6000000000000005,0.8431393071908493
6.65,0.834769520281079
6.7,0.8272467738740796
6.75,0.8258902418494223
6.800000000000001,0.8303695101724403
6.8500000000000005,0.8349975561282373
6.9,0.8338831227673501
6.95,0.8265363448082708
7.0,0.8182933431090312
7.050000000000001,0.8151879400953209
7.1000000000000005,0.8185010486884032
7.15,0.8236604496487433
7.2,0.8243268627525017
7.25,0.8183539186284268
7.300000000000001,0.8098460820433623
7.3500000000000005,0.805153873056224
7.4,0.807035492409775
7.45,0.8122681587099496
7.5,0.8145068946263995
7.550000000000001,0.8101591011883283
7.6000000000000005,0.8018501895649822
7.65,0.7958306991809145
7.7,0.7961210304416598
7.75,0.8009865272220319
7.800000000000001,0.8044909840443136
7.8500000000000005,0.8019041604538145
7.9,0.79423635819707
7.95,0.787228401176612
8.0,0.7858781489704258
8.05,0.7899832852838958
8.1,0.7943756525004826
8.15,0.793563032458475
8.200000000000001,0.7869278044364243
8.25,0.7793273190426523
8.3,0.7763959705985738
8.35,0.7794184843390609
8.4,0.7842808474012037
8.450000000000001,0.7851358780096322
8.5,0.7798477516162877
8.55,0.7720823427227785
8.6,0.7677306931243106
8.65,0.7694360987741867
8.700000000000001,0.7743424900411474
8.75,0.7766513220886081
8.8,0.7729269852178275
8.85,0.7654281165804527
8.9,0.7599058021247211
8.950000000000001,0.7601573892135981
9.0,0.764703766718856
9.05,0.7681659873461704
9.1,0.7661109171490317
9.15,0.7592851678835413
9.200000000000001,0.7529137233046425
9.25,0.7516762689870518
9.3,0.7555061560058702
9.35,0.7597612867175642
9.4,0.7593654641026063
9.450000000000001,0.7535668250799608
9.5,0.7467186794858759
9.55,0.7440566067478981
9.600000000000001,0.7468811118572602
9.65,0.751537840359005
9.700000000000001,0.7526810404208474
9.75,0.7481866413223597
9.8,0.741260647951499
9.850000000000001,0.7373312121472899
9.9,0.7389430799852761
9.950000000000001,0.7436082257829434
10.0,0.7460741256965263
10.05,0.7430658342071812
10.100000000000001,0.736460396495332
10.15,0.7315022146254244
10.200000000000001,0.7317841958219145
10.25,0.7360889667768559
10.3,0.7395861753670242
10.350000000000001,0.73814007396689
10.4,0.732225555550848
10.450000000000001,0.726542629035921
10.5,0.7254706990312728
10.55,0.7290926695354306
10.600000000000001,0.7332800308234042
10.65,0.7333648806223871
10.700000000000001,0.7284575484727306
10.75,0.7223990365993568
10.8,0.7200408885168051
10.850000000000001,0.7227210363484964
10.9,0.7272343553727468
10.950000000000001,0.7287189778340845
11.0,0.7250589906177491
11.05,0.7189954135026606
11.100000000000001,0.7155043748357824
11.15,0.7170591960255116
11.200000000000001,0.7215368769071107
11.25,0.7242051991637382
11.3,0.7219409544620741
11.350000000000001,0.7162381479573228
11.4,0.7118424496008149
11.450000000000001,0.7121714839546982
11.5,0.7162772949343743
11.55,0.7198488994046406
11.600000000000001,0.7190293665343226
11.65,0.7140221759094362
11.700000000000001,0.7090095235677438
11.75,0.7080985758938433
11.8,0.7115406019590116
11.850000000000001,0.7156941998562169
11.9,0.7162698157911433
11.950000000000001,0.7122379609260686
12.0,0.7069357058271153
12.05,0.7048557833788269
12.100000000000001,0.7074013276744908
12.15,0.711798693469518
12.200000000000001,0.7136302312313357
12.25,0.7107788103312054
12.3,0.7055306349282401
12.350000000000001,0.7024323561184324
12.4,0.7039189279810464
12.450000000000001,0.7082273792706968
12.5,0.7111011952343643
12.55,0.7095478401319839
12.600000000000001,0.7046885931252949
12.65,0.7007917593635185
12.700000000000001,0.7011343038853652
12.75,0.7050465599853697
12.8,0.7086940215274512
12.850000000000001,0.7084638466888872
12.9,0.704294748696427
12.950000000000001,0.6998730255358387
13.0,0.699067313939563
13.05,0.702318253945185
13.100000000000001,0.7064370478344989
13.15,0.7074654474512212
13.200000000000001,0.7042321326713354
13.25,0.6995933448081855
13.3,0.6977151543053653
13.350000000000001,0.7000954182318075
13.4,0.7043707912699025
13.450000000000001,0.7065131007155294
13.5,0.7043887432562782
13.55,0.6998520130700085
13.600000000000001,0.697051587661504
13.65,0.6984180463438181
13.700000000000001,0.7025426479336504
13.75,0.7055889441491496
13.8,0.7046640583784336
13.850000000000001,0.7005356962063816
13.9,0.697027136790524
13.950000000000001,0.6973100640437485
14.0,0.701001699283923
14.05,0.7046947168597251
14.100000000000001,0.7049742696632593
14.15,0.7015247390298756
14.200000000000001,0.697570445525142
14.25,0.6967769314847614
14.3,0.6997939770186379
14.350000000000001,0.7038482658877383
14.4,0.705255730697568
14.450000000000001,0.7027000160945921
14.5,0.6985909954281887
14.55,0.6968039473109083
14.600000000000001,0.6989583201269164
14.65,0.7030792315264897
14.700000000000001,0.7054663942770439
14.75,0.7039496643898953
14.8,0.6999832379278096
14.850000000000001,0.6973553814396469
14.9,0.6985228094711409
14.950000000000001,0.7024244513105362
15.0,0.7055853223410506
15.05,0.7051750076573009
15.100000000000001,0.7016319888474563
15.15,0.6983746645140771
15.200000000000001,0.6985017280451031
15.25,0.7019234628778626
15.3,0.7056106070673658
15.350000000000001,0.7062950932599047
15.4,0.7034186971246826
15.450000000000001,0.69978587516595
15.5,0.6988930618933817
15.55,0.7016142952319879
15.600000000000001,0.7055561813006737
15.65,0.7072494868183747
15.700000000000001,0.7052280132895412
15.75,0.7014966683663085
15.8,0.6996766787922848
15.850000000000001,0.701529592250192
15.9,0.7054480008114081
15.950000000000001,0.7079992457742309
16.0,0.7069540026901792
16.05,0.7034025985094708
16.1,0.7008134305238919
16.150000000000002,0.701693060836817
16.2,0.7053199757515309
16.25,0.708526246371492
16.3,0.708505397698513
16.35,0.705392562247877
16.400000000000002,0.7022454589867579
16.45,0.702116284337883
16.5,0.7052098748610336
16.55,0.7088312065025828
16.6,0.70980944733933
16.650000000000002,0.7073548850148023
16.7,0.7038979159468348
16.75,0.7027960524463494
16.8,0.7051552944829496
16.85,0.708930798784368
16.900000000000002,0.7108141541709874
16.95,0.7091834589865393
17.0,0.7056821406812381
17.05,0.7037124694845567
17.1,0.7051897284733878
17.150000000000002,0.708854195024436
17.2,0.7114889223152787
17.25,0.710783339008751
17.3,0.707500123562615
17.35,0.704828152338551
17.400000000000002,0.7053388101050281
17.45,0.7086392715304318
17.5,0.7118238172898375
17.55,0.7120753117724539
17.6,0.7092498782715847
17.650000000000002,0.7060887812018883
17.7,0.7056168968487379
17.75,0.7083285972731401
17.8,0.7118277218540785
17.85,0.712999136110227
17.900000000000002,0.7108312071461639
17.95,0.7074251223905269
18.0,0.7060242785255936
