K,Kh_over_J2,m3,m3_sem
0.05,0.2,0.10212289997423214,0.0002850494446181163
0.1,0.4,0.17199459366122613,0.0006025350939121788
0.15,0.6,0.20494943931019466,0.0008635895572959549
0.2,0.8,0.2189518599869886,0.0009171577411345719
0.25,1.0,0.22944971691952915,0.0008848083744968719
0.3,1.2,0.22808904304710534,0.0006595992733002511
0.35,1.4,0.23474695404414783,0.0006697236607008604
0.4,1.6,0.2478893096774832,0.0010108494441088266
0.45,1.8,0.2731448854661612,0.0013487110760391785
0.5,2.0,0.2995016028421647,0.0016476535859057289
0.55,2.2,0.3322545850041257,0.0019347163022090834
0.6,2.4,0.37105662185510596,0.0023034931991976143
0.65,2.6,0.40383323370950513,0.0027675928177724914
0.7,2.8,0.42183865766916173,0.0023274587973833847
0.75,3.0,0.4349753664987957,0.0030209081141731957
0.8,3.2,0.4390768920127957,0.004747544893677367
0.85,3.4,0.4405626234417853,0.006255173863691984
0.9,3.6,0.45530056596521906,0.0075126956315173425
0.95,3.8,0.45415738474990097,0.008314598101117558
