K,Kh_over_J2,m3,m3_sem
0.05,0.5,0.20463249142308257,0.0006187695935998071
0.1,1.0,0.24248029202164378,0.0007373063624373806
0.15,1.5,0.2514624774300352,0.0005920142278257673
0.2,2.0,0.28886812689139924,0.0011119838669651021
0.25,2.5,0.3528928087287696,0.0015342329900104707
0.3,3.0,0.42640604229746426,0.004174653547300571
0.35,3.5,0.4478967334818497,0.006201494743836898
0.4,4.0,0.4697817818235378,0.0064953861735091096
0.45,4.5,0.47636467586601405,0.006911675007817052
0.5,5.0,0.4793264979685482,0.007178791235248894
0.55,5.5,0.48661233733932147,0.007354786848416112
0.6,6.0,0.4829050862751885,0.007469984927327823
0.65,6.5,0.49155759597762677,0.007544486965676424
0.7,7.0,0.48638401046699953,0.00759643800222986
0.75,7.5,0.4925538654489244,0.007638732122728883
0.8,8.0,0.49069344330446096,0.007678101851777263
0.85,8.5,0.49152173898246543,0.007712426264976257
0.9,9.0,0.4945472202048648,0.007734705099737499
0.95,9.5,0.4910003648116497,0.007743648054392178
