K,Kh_over_J2,q4,q4_sem
0.05,0.4,0.24986176047017078,0.0004244067657898964
0.1,0.8,0.18026866589282164,0.000653858336566173
0.15,1.2,0.13997694867673385,0.00047216524643309927
0.2,1.6,0.17178992070942553,0.0006010017972779675
0.25,2.0,0.23690330851769695,0.0009885355313738464
0.3,2.4,0.3113350740793425,0.0025300307115248928
0.35,2.8,0.40788920706970583,0.003528917542318535
0.4,3.2,0.4634474606333321,0.005066521848747409
0.45,3.6,0.4793258350777951,0.005929357158526835
0.5,4.0,0.4904857378301962,0.006507863567935592
0.55,4.4,0.48800675164496227,0.006889399710358553
0.6,4.8,0.49559378771377194,0.007144279827292985
0.65,5.2,0.4905168600735428,0.007318959693627702
0.7,5.6,0.49553326092426847,0.007446725583741197
0.75,6.0,0.4928433098637854,0.007544240151509408
0.8,6.4,0.4932921800352665,0.007621349371187352
0.85,6.8,0.4950904200673355,0.007675565405736354
0.9,7.2,0.49135139433172975,0.007709250214452438
0.95,7.6,0.496053318772036,0.0077270685115349525
