K,Kh_over_J2,q4,q4_sem
0.05,0.30000000000000004,0.28421395749456624,0.0005021317709301995
0.1,0.6000000000000001,0.2079070301328983,0.0010544994072612824
0.15,0.8999999999999999,0.1707643853191777,0.0010982835685555109
0.2,1.2000000000000002,0.1406804212967849,0.0008933073825316728
0.25,1.5,0.15942666066585234,0.0009342111509087645
0.3,1.7999999999999998,0.20841727062833626,0.0014645801607458188
0.35,2.0999999999999996,0.2643021713994376,0.0019531170479494702
0.4,2.4000000000000004,0.323410785860438,0.002332288245911146
0.45,2.7,0.39353553262645125,0.0026964877768902535
0.5,3.0,0.4489598439347244,0.0025139867762406405
0.55,3.3000000000000003,0.47005239292661277,0.004215037655081987
0.6,3.5999999999999996,0.48543148198486413,0.006018173566262391
0.65,3.9000000000000004,0.483364402872423,0.007422549130244484
0.7,4.199999999999999,0.4785114827428523,0.008454110621515252
0.75,4.5,0.4875043212858606,0.00916697748046699
0.8,4.800000000000001,0.48988599793889265,0.009728882638400776
0.85,5.1,0.49534808855325796,0.010045869282601321
0.9,5.4,0.479240926410373,0.010361732159496654
0.95,5.699999999999999,0.4890975958148384,0.010473018634167159
