Jt,m3_t
0.05,0.0001570357398357619
0.1,0.00036082598010617824
0.15000000000000002,0.0005435149747247168
0.2,0.0009857434154598107
0.25,0.0015162970462119917
0.30000000000000004,0.0020137167596562602
0.35000000000000003,0.002776069015957336
0.4,0.003675232976320193
0.45,0.004494430626384135
0.5,0.00553434611029241
0.55,0.006803399389980994
0.6000000000000001,0.008022718213416687
0.65,0.009379188111267587
0.7000000000000001,0.01091571720473757
0.75,0.01236181561201024
0.8,0.013962646419893778
0.8500000000000001,0.015933824876322042
0.9,0.01793401298779643
0.9500000000000001,0.01991745321555858
1.0,0.022036727073705024
1.05,0.02407763177214455
1.1,0.026196924907849473
1.1500000000000001,0.028797477687119034
1.2000000000000002,0.03160319924061176
1.25,0.03428064294088421
1.3,0.036954141209014274
1.35,0.039541201199962586
1.4000000000000001,0.04213180920883933
1.4500000000000002,0.04526350001546346
1.5,0.04884739082680341
1.55,0.05229660326852402
1.6,0.05553742777984783
1.6500000000000001,0.058619125029022355
1.7000000000000002,0.061628969134962984
1.75,0.06518123718986155
1.8,0.06945842553866682
1.85,0.07373742623716102
1.9000000000000001,0.0776025400438136
1.9500000000000002,0.08114326422892068
2.0,0.08451687655614631
2.0500000000000003,0.08837836198241414
2.1,0.09321341770699462
2.15,0.09833154193105173
2.2,0.102908266721735
2.25,0.10690667066981034
2.3000000000000003,0.11059126577231662
2.35,0.11465779459811347
2.4000000000000004,0.11988082047420032
2.45,0.1257791896494101
2.5,0.13115827185269724
2.5500000000000003,0.135658449138575
2.6,0.1396154095580718
2.6500000000000004,0.14379497285866236
2.7,0.1492216646833762
2.75,0.15576789290155196
2.8000000000000003,0.1620097302227203
2.85,0.16709951381371244
2.9000000000000004,0.1713193557653329
2.95,0.17553637145056322
3.0,0.18098702412249978
3.0500000000000003,0.18798475048292784
3.1,0.19508767488080692
3.1500000000000004,0.20088165510285091
3.2,0.20539786621880637
3.25,0.20959929540659958
3.3000000000000003,0.2149135881599079
3.35,0.22212345490181637
3.4000000000000004,0.2300025220860134
3.45,0.23661197032799833
3.5,0.24150774443989054
3.5500000000000003,0.2456723008479919
3.6,0.2507192944253532
3.6500000000000004,0.2578855492150465
3.7,0.2663673019035485
3.75,0.273863521913836
3.8000000000000003,0.2792661586479797
3.85,0.2834154272493531
3.9000000000000004,0.28810037206530764
3.95,0.29497699385525233
4.0,0.3038112159346661
4.05,0.3121913861748376
4.1000000000000005,0.3182520553553262
4.15,0.32245982820164504
4.2,0.3267302094437658
4.25,0.3331021494155594
4.3,0.341987212987659
4.3500000000000005,0.3511516053979394
4.4,0.3580125148046308
4.45,0.3624071879163147
4.5,0.36625963026153985
4.55,0.371957514118395
4.6000000000000005,0.38057294035365863
4.65,0.39031954368484073
4.7,0.39807485897207023
4.75,0.4028301682699838
4.800000000000001,0.4063177892937174
4.8500000000000005,0.4112270150790104
4.9,0.4192661427869309
4.95,0.4293041438951061
5.0,0.4379637364711956
5.050000000000001,0.4432756540520497
5.1000000000000005,0.4465131065054057
5.15,0.45057965631674984
5.2,0.45777680975103907
5.25,0.46775559941910333
5.300000000000001,0.47722078968801057
5.3500000000000005,0.4832724375989864
5.4,0.48643431754998845
5.45,0.48966933481531083
5.5,0.495818771031849
5.550000000000001,0.5053656544417755
5.6000000000000005,0.5154234438394157
5.65,0.522344100795309
5.7,0.5256525186994909
5.75,0.5281360517085573
5.800000000000001,0.533102976710281
5.8500000000000005,0.54186158349377
5.9,0.5521992598442351
5.95,0.5600263998428597
6.0,0.5637256445270751
6.050000000000001,0.5656077532284305
6.1000000000000005,0.5693336521491742
6.15,0.5769963063512743
6.2,0.5872332363829447
6.25,0.5958868962769991
6.300000000000001,0.6002068112728122
6.3500000000000005,0.6017025554688118
6.4,0.6042073666108778
6.45,0.6105376616187468
6.5,0.6202671453057467
6.550000000000001,0.6295434783606925
6.6000000000000005,0.6346572413578706
6.65,0.6360318553977041
6.7,0.637414251892105
6.75,0.6422594882272323
6.800000000000001,0.6510919085654013
6.8500000000000005,0.6606782272143974
6.9,0.6666631824707675
6.95,0.6682054354605965
7.0,0.6686404071422396
7.050000000000001,0.6719360865707062
7.1000000000000005,0.6795355824206086
7.15,0.6890439346501277
7.2,0.6958547515290685
7.25,0.6978397922922646
7.300000000000001,0.6975709028901458
7.3500000000000005,0.6993403275361821
7.4,0.7054502445846557
7.45,0.7144622436977717
7.5,0.7219235177938675
7.550000000000001,0.7245703786271068
7.6000000000000005,0.7238934979809728
7.65,0.7242446551044766
7.7,0.7287008094407832
7.75,0.7368143554849699
7.800000000000001,0.7446353596497921
7.8500000000000005,0.7480673119593938
7.9,0.7473038407642579
7.95,0.7464238116137019
8.0,0.749157708966099
8.05,0.7560269261845447
8.1,0.7638358736677627
8.15,0.7680527189744705
8.200000000000001,0.7675131872768671
8.25,0.7656583424170289
8.3,0.7666939395978006
8.35,0.7720566594004075
8.4,0.7794472101501503
8.450000000000001,0.7843167677590034
8.5,0.7842593154770896
8.55,0.7817385897328191
8.6,0.781185737036999
8.65,0.784876943295436
8.700000000000001,0.7914571906925311
8.75,0.7967290718672722
8.8,0.7973203613055577
8.85,0.7944696021013363
8.9,0.7925155015523492
8.950000000000001,0.7944688097377041
9.0,0.7999033319821611
9.05,0.8052427686029724
9.1,0.8065300354182966
9.15,0.8036777949792134
9.200000000000001,0.800575665455888
9.25,0.8008169470748822
9.3,0.804855417301671
9.35,0.8098900669930712
9.4,0.8117915774162764
9.450000000000001,0.8092200435312521
9.5,0.8052727953548481
9.55,0.8039100577947396
9.600000000000001,0.8064002230025341
9.65,0.8107700090359797
9.700000000000001,0.8130873520418985
9.75,0.8109951321779063
9.8,0.8065319998669908
9.850000000000001,0.8037439886018379
9.9,0.8046309773713025
9.950000000000001,0.8080310074911426
10.0,0.8104814694658844
10.05,0.8089563537119336
10.100000000000001,0.8043022776105979
10.15,0.8003259611869149
10.200000000000001,0.7996425079503359
10.25,0.8018518549695288
10.3,0.8041141698325468
10.350000000000001,0.803122980104368
10.4,0.798563494715479
10.450000000000001,0.7936787720062374
10.5,0.7915314140363116
10.55,0.7924249895862717
10.600000000000001,0.7941885844112719
10.65,0.7935877973721075
10.700000000000001,0.7893351332385922
10.75,0.7838446666041767
10.8,0.7803995190163548
10.850000000000001,0.7799448406906243
10.9,0.7809523153038862
10.950000000000001,0.7805182244338418
11.0,0.7766859697498796
11.05,0.7708893169018586
11.100000000000001,0.7663585817835872
11.15,0.7646024185340666
11.200000000000001,0.7646774944702981
11.25,0.7641497313472342
11.3,0.7607428188052057
11.350000000000001,0.7549066002719172
11.4,0.7495347138307622
11.450000000000001,0.7465855455772109
11.5,0.7456431948529353
11.55,0.7447720284357722
11.600000000000001,0.7416958781703491
11.65,0.7360245486501615
11.700000000000001,0.7300718374696229
11.75,0.7260828416262104
11.8,0.724123195190973
11.850000000000001,0.7227102950748547
11.9,0.7197983869787523
11.950000000000001,0.7144120135970433
12.0,0.7081344015839535
12.05,0.7032891201283294
12.100000000000001,0.700380441372221
12.15,0.6983049912038419
12.200000000000001,0.6953593217164445
12.25,0.6902846257642286
12.3,0.6839100617767296
12.350000000000001,0.6784102346379034
12.4,0.6746676734960658
12.450000000000001,0.6718941178687374
12.5,0.6687294620200922
12.55,0.663907969802741
12.600000000000001,0.6576129245311053
12.65,0.6516663425806967
12.700000000000001,0.6472322229094278
12.75,0.6438010286279859
12.8,0.6402828842375378
12.850000000000001,0.6355959179152979
12.9,0.6294872988997069
12.950000000000001,0.6232935865718476
13.0,0.6183223523804777
