K,Kh_over_J2,m3,m3_sem
0.05,0.30000000000000004,0.14925619126380751,0.0006330004546694294
0.1,0.6000000000000001,0.21705522331411,0.0010590486785344527
0.15,0.8999999999999999,0.23401846936343038,0.0011314105071960365
0.2,1.2000000000000002,0.2477174579024909,0.0009677318264675174
0.25,1.5,0.25511181920670983,0.0010150415292864699
0.3,1.7999999999999998,0.27574654580670394,0.0014894948929217253
0.35,2.0999999999999996,0.30382405021661,0.001953867432375932
0.4,2.4000000000000004,0.34621065658661454,0.0023438484158055306
0.45,2.7,0.40190631193821236,0.002694037569996683
0.5,3.0,0.43344285211419376,0.0025028374723177612
0.55,3.3000000000000003,0.44603253677430615,0.0040609331971937
0.6,3.5999999999999996,0.44935803446607653,0.005778170980294501
0.65,3.9000000000000004,0.4627941867211976,0.007163851975740116
0.7,4.199999999999999,0.4741841874888581,0.008188304965833462
0.75,4.5,0.4704237989941163,0.008907078487879333
0.8,4.800000000000001,0.4711640557493853,0.00947347604708628
0.85,5.1,0.4684488549455276,0.009804461821376708
0.9,5.4,0.4862129605226049,0.010128333859004184
0.95,5.699999999999999,0.4783027796182502,0.010245522980190777
