K,Kh_over_J2,m3,m3_sem
0.05,0.4,0.1801373365740186,0.00043234159925666977
0.1,0.8,0.22745856409583853,0.0006594390469436076
0.15,1.2,0.2358321960811388,0.0004994394658356201
0.2,1.6,0.24917860635391,0.000600649179272341
0.25,2.0,0.2889228627058791,0.0010017667052778648
0.3,2.4,0.3516750899058763,0.0025525406677259286
0.35,2.8,0.40416658268145894,0.0033744027950059984
0.4,3.2,0.4446873285311473,0.004803498295253856
0.45,3.6,0.4603435403031952,0.005683198990741563
0.5,4.0,0.4652551429810028,0.006291325328443265
0.55,4.4,0.4765037188654079,0.006699565134283779
0.6,4.8,0.47463716188791466,0.00697774390664274
0.65,5.2,0.48327955738442024,0.007170959086757856
0.7,5.6,0.480854971797481,0.00731257843772774
0.75,6.0,0.4854570777166205,0.007422446897175332
0.8,6.4,0.48647838391762593,0.007507751130539952
0.85,6.8,0.4859005067223133,0.00756948786295525
0.9,7.2,0.490556828104538,0.007608622473123937
0.95,7.6,0.486754733868636,0.007629930640435813
