K,Kh_over_J2,sum,sum_sem
0.05,0.1,0.358858979585124,0.00022382637470951745
0.1,0.2,0.362126392215151,0.00035258371567564755
0.15,0.3,0.3655674680605059,0.0005065945253022815
0.2,0.4,0.366874506985321,0.0006585053443387012
0.25,0.5,0.36734528033452624,0.0007819148563638716
0.3,0.6,0.3658038593964147,0.0008784997455630705
0.35,0.7,0.36295836592084385,0.0009524176559550394
0.4,0.8,0.35923690785171636,0.000997176251618606
0.45,0.9,0.3542308033490941,0.0010073531518097225
0.5,1.0,0.3474613703061611,0.0009414155266468168
0.55,1.1,0.3474384682354861,0.000971627004508729
0.6,1.2,0.3709002730066394,0.0011957477931431103
0.65,1.3,0.4078951594683731,0.0014458788006520495
0.7,1.4,0.45302714716548104,0.0017434006791642608
0.75,1.5,0.49996345597715913,0.002129734921729435
0.8,1.6,0.5472990052283819,0.002861058693687537
0.85,1.7,0.6035238782652026,0.004278305532057613
0.9,1.8,0.6617900697959613,0.00392549875594133
0.95,1.9,0.7035864313804572,0.005141888021048036
