K,Kh_over_J2,q4,q4_sem
0.05,0.2,0.3104016952684062,0.0002090764405773646
0.1,0.4,0.2416637036501358,0.0005741910481511377
0.15,0.6,0.2009343350579888,0.000835705840774019
0.2,0.8,0.17373650275566035,0.0008842026686384452
0.25,1.0,0.14729190822488694,0.0008326237554826056
0.3,1.2,0.1345656383568731,0.0005963178070499221
0.35,1.4,0.1461183447435904,0.0006569246211700717
0.4,1.6,0.18285762787836057,0.0009785298685183134
0.45,1.8,0.21849946633896433,0.0012998266335804013
0.5,2.0,0.2592354925297953,0.0015827243168606822
0.55,2.2,0.30573886636404995,0.0018814685123883157
0.6,2.4,0.36894305437000885,0.0023098109884023455
0.65,2.6,0.42358414637799613,0.002870588995925286
0.7,2.8,0.4443612486803343,0.0023321954933663725
0.75,3.0,0.4533503772864704,0.0031185789246806848
0.8,3.2,0.46391033888044786,0.004981689164889308
0.85,3.4,0.47247928599417843,0.006577150907032999
0.9,3.6,0.46493676808422696,0.007892446639015062
0.95,3.8,0.470344569982778,0.008722766253862613
