K,Kh_over_J2,sum,sum_sem
0.05,0.5,0.43182466584641455,0.0008557680929774043
0.1,1.0,0.3982717731942799,0.001024821766473896
0.15,1.5,0.40941614854908637,0.0008253552150645705
0.2,2.0,0.5310376203044007,0.0015722243313371319
0.25,2.5,0.6796017069706362,0.002168031549503067
0.3,3.0,0.860590899453765,0.0060148964403862835
0.35,3.5,0.9338929743834212,0.008978665814946114
0.4,4.0,0.9588247384663289,0.00934665111660843
0.45,4.5,0.9698322820040968,0.009906201309912151
0.5,5.0,0.9762666981487866,0.01026166907859055
0.55,5.5,0.9799863209045929,0.010493867307471478
0.6,6.0,0.9826660644061032,0.010643864807357453
0.65,6.5,0.9843673190920754,0.010739656603665163
0.7,7.0,0.9857893433220524,0.010805873121585947
0.75,7.5,0.9867642920690987,0.010859863414059135
0.8,8.0,0.987600749523766,0.010911442910549046
0.85,8.5,0.9882918676693654,0.010956784136017392
0.9,9.0,0.9888431127127696,0.010985654797849648
0.95,9.5,0.9894059264761854,0.01099662287401875
