K,Kh_over_J2,m3,m3_sem
0.05,0.1,0.0626060129454963,0.00013351786372783547
0.1,0.2,0.09380314194920947,0.0002505962602269051
0.15,0.3,0.1282997713981054,0.00037729830166123026
0.2,0.4,0.15486959083903418,0.0004991166411852911
0.25,0.5,0.1772941439663571,0.0005990454869470041
0.3,0.6,0.19100654014225205,0.0006752410342487446
0.35,0.7,0.20111920702195177,0.0007402356748417177
0.4,0.8,0.20883595527845758,0.000791572752287746
0.45,0.9,0.2123806159248465,0.0008081934296820824
0.5,1.0,0.21445176271572172,0.0007556434570116761
0.55,1.1,0.2159189710005723,0.0007905805765499681
0.6,1.2,0.22609148931479042,0.0009667714990645663
0.65,1.3,0.23903010872680627,0.0011758305927015579
0.7,1.4,0.2576381531692352,0.0013778074122723775
0.75,1.5,0.2777162747873299,0.0017122530675589493
0.8,1.6,0.2947582223267878,0.002318446885208087
0.85,1.7,0.3132515319517746,0.0034253853937956133
0.9,1.8,0.3354494037192194,0.0028225771924224375
0.95,1.9,0.34770161684217016,0.003727380829369755
