Kh_over_J2,sum
0.1,0.4044308087702513
0.3,0.4165910175412664
0.5,0.4213909690827671
0.7,0.41237733559653467
0.8999999999999999,0.39843503798227387
1.1,0.38167745592761937
1.3,0.37016271791209804
1.5000000000000002,0.3858114600042677
1.7000000000000002,0.429787955891759
1.9,0.48012363479995623
2.1,0.5301606092107679
2.3000000000000003,0.5810350196813676
2.5,0.6344917901365694
2.7,0.6947202152487513
2.9000000000000004,0.765757149691376
3.1,0.8390045864173425
3.3000000000000003,0.8891038436363741
3.5000000000000004,0.9166359906451861
3.7,0.9352564558155141
3.9000000000000004,0.948990835815841
4.1000000000000005,0.9586363841663611
4.3,0.9655728247385775
4.5,0.9711687696942651
4.7,0.9751849978502749
4.9,0.978685345565224
5.1,0.9814773297783079
5.300000000000001,0.9835958511815093
5.5,0.9855026792775874
5.700000000000001,0.9869610837579621
5.8999999999999995,0.9883424250132101
6.1,0.9895184363288689
6.3,0.9903350547821084
6.5,0.9912340453795878
6.7,0.9919991497391056
6.9,0.992587104465013
7.1000000000000005,0.993174578132274
7.3,0.993635464664037
7.5,0.9941137971413675
7.7,0.9945420438500474
7.9,0.9948238838960702
8.100000000000001,0.9951832183606417
8.3,0.9955065161960173
8.5,0.9957302701456341
8.7,0.9959852324571046
8.9,0.996203804693468
9.1,0.9964148034771685
9.3,0.9966117019222659
9.5,0.9967466993095081
9.7,0.996929959285109
9.9,0.9970952884177121
