K,Kh_over_J2,sum,sum_sem
0.05,0.4,0.42999909704418937,0.0006058385604235297
0.1,0.8,0.4077272299886602,0.0009286498699353682
0.15,1.2,0.37580914475787264,0.0006872989160280984
0.2,1.6,0.42096852706333554,0.0008496955907216913
0.25,2.0,0.525826171223576,0.0014073873058230422
0.3,2.4,0.6630101639852188,0.0035939559348514396
0.35,2.8,0.8120557897511648,0.004882607217811789
0.4,3.2,0.9081347891644793,0.006981635876808641
0.45,3.6,0.9396693753809903,0.008213161820014222
0.5,4.0,0.955740880811199,0.009051688384338865
0.55,4.4,0.9645104705103702,0.009609786748809744
0.6,4.8,0.9702309496016865,0.009986473064969203
0.65,5.2,0.973796417457963,0.010246454275548296
0.7,5.6,0.9763882327217495,0.010436835024444258
0.75,6.0,0.9783003875804059,0.010583396307662037
0.8,6.4,0.9797705639528924,0.010698191121672007
0.85,6.8,0.9809909267896488,0.010780141502093724
0.9,7.2,0.9819082224362677,0.010831605366129326
0.95,7.6,0.982808052640672,0.010859255469866073
