K,Kh_over_J2,sum,sum_sem
0.05,0.30000000000000004,0.43347014875837375,0.0008079764173471913
0.1,0.6000000000000001,0.42496225344700833,0.0014945076458218495
0.15,0.8999999999999999,0.4047828546826081,0.0015768058005831344
0.2,1.2000000000000002,0.3883978791992758,0.0013170053028153477
0.25,1.5,0.4145384798725622,0.0013795143278192126
0.3,1.7999999999999998,0.4841638164350402,0.0020889207939244966
0.35,2.0999999999999996,0.5681262216160476,0.0027626552709830035
0.4,2.4000000000000004,0.6696214424470526,0.0033065380473070905
0.45,2.7,0.7954418445646636,0.0038116774206997336
0.5,3.0,0.8824026960489182,0.0035474392065193688
0.55,3.3000000000000003,0.9160849297009189,0.005853009556273499
0.6,3.5999999999999996,0.9347895164509407,0.008343001435405421
0.65,3.9000000000000004,0.9461585895936206,0.010315765154423045
0.7,4.199999999999999,0.9526956702317104,0.011769465774380327
0.75,4.5,0.9579281202799769,0.012781608792191684
0.8,4.800000000000001,0.961050053688278,0.013579319047967522
0.85,5.1,0.9637969434987856,0.014037341673192481
0.9,5.4,0.9654538869329778,0.014489604553078657
0.95,5.699999999999999,0.9674003754330887,0.014651104410563384
