K,Kh_over_J2,sum,sum_sem
0.05,0.2,0.787080693423759,0.0010314960811263307
0.1,0.4,0.7412857356347745,0.0010180739699759455
0.15,0.6,0.6958229130032667,0.0013657665162981126
0.2,0.8,0.6587259055462601,0.0014421750964578126
0.25,1.0,0.6236553792164488,0.0013086631795508152
0.3,1.2,0.5924361996290528,0.000967615358310415
0.35,1.4,0.5805304743159039,0.0012020588163586933
0.4,1.6,0.5900329522737893,0.0015999427357673557
0.45,1.8,0.6127906043580796,0.001983476373770369
0.5,2.0,0.6441066728653213,0.0024622346804949787
0.55,2.2,0.6864205782555206,0.002875673545580853
0.6,2.4,0.7458419978689876,0.0033840814482328538
0.65,2.6,0.8031168558429966,0.004006757363329179
0.7,2.8,0.833769495256051,0.0034664103107377147
0.75,3.0,0.855810153180931,0.00433765402871367
0.8,3.2,0.8704236373338883,0.006688784224284051
0.85,3.4,0.8815139643161625,0.008764937925335135
0.9,3.6,0.8906863610062383,0.010535716040349613
0.95,3.8,0.8969243806645035,0.011687326134916926
