K,Kh_over_J2,q4,q4_sem
0.05,0.30000000000000004,0.12544230838918605,0.0006104341365803958
0.1,0.6000000000000001,0.19973573314563073,0.0010738083749846253
0.15,0.8999999999999999,0.21623811252684594,0.001117147497960792
0.2,1.2000000000000002,0.22498788844541512,0.0009253706852219287
0.25,1.5,0.23308464834779724,0.000965833062131795
0.3,1.7999999999999998,0.2593591788597758,0.0014795497085893622
0.35,2.0999999999999996,0.2879530543131717,0.0019650796109113577
0.4,2.4000000000000004,0.3262821333062656,0.0023516598250258505
0.45,2.7,0.38213025008233764,0.0027057689461196374
0.5,3.0,0.42376414836185905,0.002502463897303395
0.55,3.3000000000000003,0.4405934202759327,0.004067920279577738
0.6,3.5999999999999996,0.44602586038232256,0.005794104136387755
0.65,3.9000000000000004,0.46024309575134476,0.007184580317462572
0.7,4.199999999999999,0.47200555597030547,0.008216532442409816
0.75,4.5,0.4687885717785481,0.008943326809164693
0.8,4.800000000000001,0.47033559727919144,0.009522319512477388
0.85,5.1,0.46741892880291847,0.009860017707738332
0.9,5.4,0.4845876138984925,0.010187849899574192
0.95,5.699999999999999,0.47635929335354654,0.010310380804437542
