Kh_over_J2,m3
0.1,0.8642145054629566
0.3,0.7089743219245009
0.5,0.5862770048286887
0.7,0.5195476889265392
0.8999999999999999,0.46667359541749664
1.1,0.43420840319459597
1.3,0.4026349022635246
1.5000000000000002,0.3867164182126157
1.7000000000000002,0.38117427703941714
1.9,0.3743460212636121
2.1,0.3771179590370677
2.3000000000000003,0.3838134525443381
2.5,0.388047270887598
2.7,0.40029009622530143
2.9000000000000004,0.41185836436819934
3.1,0.42916295590163517
3.3000000000000003,0.44394048314808077
3.5000000000000004,0.45426399336813134
3.7,0.45839047769987434
3.9000000000000004,0.46308514101970943
4.1000000000000005,0.4705053993093069
4.3,0.47308382411743954
4.5,0.47562373011023534
4.7,0.478394653448668
4.9,0.48028620313985687
5.1,0.4818405216231904
5.300000000000001,0.4837606992211644
5.5,0.4849920309140767
5.700000000000001,0.48539778288216373
5.8999999999999995,0.4866226136902492
6.1,0.48839960886285144
6.3,0.48876084393709973
6.5,0.48847810638571826
6.7,0.4897413811270994
6.9,0.4913102284853033
7.1000000000000005,0.4909969931318427
7.3,0.4905499873307392
7.5,0.49201569861144256
7.7,0.493196657687418
7.9,0.49236399420019
8.100000000000001,0.4921219670259516
8.3,0.49376429742775163
8.5,0.49438844087261147
8.7,0.4932561123728638
8.9,0.49345481299347616
9.1,0.4951044687203456
9.3,0.49508452307115897
9.5,0.49393520490722065
9.7,0.4946601502324215
9.9,0.4960716684980511
