K,Kh_over_J2,m3,m3_sem
0.05,0.2,0.7075422518698583,0.0009935501557307618
0.1,0.4,0.5863343248703798,0.0008311048620006927
0.15,0.6,0.5049902748022935,0.0010576963081857845
0.2,0.8,0.4526410177911142,0.0011133145447346767
0.25,1.0,0.40820961941456724,0.0009784832828308744
0.3,1.2,0.3822043763113942,0.0007303950892495738
0.35,1.4,0.36373591146747425,0.0009957035327962049
0.4,1.6,0.35603561239337,0.0012361859446398964
0.45,1.8,0.3528462891110009,0.0014493066497031583
0.5,2.0,0.35945465269687865,0.0018259841111968658
0.55,2.2,0.3721059894286252,0.0021140956273102193
0.6,2.4,0.39602283873324157,0.0024463178074259234
0.65,2.6,0.41351659046981326,0.002848160198798855
0.7,2.8,0.42111285807765647,0.002546035049853187
0.75,3.0,0.4273937112689975,0.0031056418689022806
0.8,3.2,0.43707343026432266,0.004688195436923019
0.85,3.4,0.4466062687722335,0.0060919976852397105
0.9,3.6,0.44092313897697194,0.007312285579117746
0.95,3.8,0.44582715171614956,0.008100287098106167
