K,Kh_over_J2,m3,m3_sem
0.05,0.4,0.6259397792677948,0.00043679615567462877
0.1,0.8,0.48511333324791894,0.0006768709752527112
0.15,1.2,0.4119160761479172,0.00049193176956282
0.2,1.6,0.38022425305340934,0.0006230156286243072
0.25,2.0,0.37433258028665656,0.001003952984774338
0.3,2.4,0.3946986899683315,0.002601423684031184
0.35,2.8,0.43288259396949036,0.003298577359312682
0.4,3.2,0.4530518296609473,0.004600149912333977
0.45,3.6,0.4609807021111408,0.005478406125005234
0.5,4.0,0.4709794364402874,0.006103665581125665
0.55,4.4,0.4702959525749386,0.00653562701225207
0.6,4.8,0.4793993335090698,0.006833627061774925
0.65,5.2,0.47618817705355226,0.0070462756112786035
0.7,5.6,0.48272740826590294,0.007203242799482416
0.75,6.0,0.48165147315939655,0.007326126158494967
0.8,6.4,0.48356715156046043,0.0074214951389662935
0.85,6.8,0.4864894300456326,0.0074920502973278135
0.9,7.2,0.48398031960385857,0.007539811365439588
0.95,7.6,0.48956486208162997,0.007567471067699737
