Kh_over_J2,sum
0.1,0.9125870759104913
0.3,0.8319109563760563
0.5,0.7757671476479502
0.7,0.7315414443417622
0.8999999999999999,0.6953477753369687
1.1,0.6614606653321271
1.3,0.6320500463370032
1.5000000000000002,0.6199584833823542
1.7000000000000002,0.6277087022042018
1.9,0.644000701942943
2.1,0.6640801919778172
2.3000000000000003,0.6878087316162433
2.5,0.7161140833600801
2.7,0.7507144567450328
2.9000000000000004,0.7948011080414172
3.1,0.840763016160146
3.3000000000000003,0.8757872762673675
3.5000000000000004,0.8979065391639462
3.7,0.915259741125128
3.9000000000000004,0.9280100366188572
4.1000000000000005,0.9375348535536673
4.3,0.9452828602415402
4.5,0.9516223467748532
4.7,0.956871725866769
4.9,0.9612230844109703
5.1,0.9648967122467604
5.300000000000001,0.968077533292858
5.5,0.9708486683401869
5.700000000000001,0.9732346821878877
5.8999999999999995,0.9752998146706469
6.1,0.9771459624133585
6.3,0.9788114939990213
6.5,0.9802745743944619
6.7,0.9815629222582667
6.9,0.9827442886293236
7.1000000000000005,0.9838305382136268
7.3,0.9847964791004273
7.5,0.9856604965828122
7.7,0.9864679474737161
7.9,0.9872193629113335
8.100000000000001,0.9878914268299401
8.3,0.9885017907743066
8.5,0.9890821116629027
8.7,0.989624274537495
8.9,0.9901105876405965
9.1,0.9905600902913727
9.3,0.9909934602319188
9.5,0.9913967016497406
9.7,0.9917601122883214
9.9,0.992102994370333
