K,Kh_over_J2,sum,sum_sem
0.05,0.30000000000000004,0.8056462858185055,0.00106115646909068
0.1,0.6000000000000001,0.7353902961773907,0.0016173863646608906
0.15,0.8999999999999999,0.6770380876758245,0.001616977945747275
0.2,1.2000000000000002,0.6312423020560844,0.0013386806270133205
0.25,1.5,0.6136996524953169,0.0014115184192443721
0.3,1.7999999999999998,0.6307017168366356,0.002132464973031337
0.35,2.0999999999999996,0.666355434188964,0.002810390731889301
0.4,2.4000000000000004,0.7196789182397795,0.003362679043502438
0.45,2.7,0.7954075782004317,0.003851734974878853
0.5,3.0,0.8582481910823144,0.003581430529323337
0.55,3.3000000000000003,0.8878341502681453,0.005683200363953249
0.6,3.5999999999999996,0.9072695758497527,0.008058966565629547
0.65,3.9000000000000004,0.9201094039689586,0.010002983746712586
0.7,4.199999999999999,0.9302192596410832,0.011452772223342164
0.75,4.5,0.9366840199285742,0.012482157360354747
0.8,4.800000000000001,0.9421074280283803,0.013305239977294943
0.85,5.1,0.9461184227610864,0.013789526801385479
0.9,5.4,0.9502377748939433,0.014254625783287875
0.95,5.699999999999999,0.9530166012371231,0.014435439066589832
