K,Kh_over_J2,sum,sum_sem
0.05,0.1,0.6420851539693616,0.0021465570226437826
0.1,0.2,0.6288705053191895,0.0016612191797550084
0.15,0.3,0.6103738595889215,0.0009368666013588127
0.2,0.4,0.5951066179121077,0.000992666400163363
0.25,0.5,0.58218902466874,0.00112840740453735
0.3,0.6,0.5688435165985266,0.0012802650453768278
0.35,0.7,0.5553424401904603,0.0013162488050425683
0.4,0.8,0.5416632591172262,0.0011727777263142245
0.45,0.9,0.527694591609155,0.0010801535396424075
0.5,1.0,0.5131640740061543,0.001295884988597651
0.55,1.1,0.5009183471342671,0.0013862050721415876
0.6,1.2,0.5061772101368682,0.001184199749594674
0.65,1.3,0.5173002075156172,0.0017589141497301988
0.7,1.4,0.5371608964590013,0.0022057415012710214
0.75,1.5,0.5621599036400567,0.0025631641159180583
0.8,1.6,0.5858618920322973,0.0032661974800046105
0.85,1.7,0.6153833128027413,0.004504089403421797
0.9,1.8,0.6454379187170509,0.004248095491926053
0.95,1.9,0.6707075443684396,0.005454449317822827
