K,Kh_over_J2,m3,m3_sem
0.05,0.1,0.6138603337567261,0.0021425589167961695
0.1,0.2,0.5673444268209616,0.001641271403308853
0.15,0.3,0.5120301787784713,0.0008465316051337106
0.2,0.4,0.46940011830972533,0.0008479883409281966
0.25,0.5,0.4339171911166952,0.0009519770553543816
0.3,0.6,0.4075600117846817,0.0010914905601232525
0.35,0.7,0.38537843710554615,0.0011088738244610173
0.4,0.8,0.36576562992492734,0.0009345650230546948
0.45,0.9,0.3503850396538498,0.0008278631396977641
0.5,1.0,0.3369134623199917,0.001115314123306537
0.55,1.1,0.323661722718547,0.0012189704650896883
0.6,1.2,0.32189491528760117,0.0009031016535358214
0.65,1.3,0.318860681604068,0.0014758918342863755
0.7,1.4,0.32133559436937664,0.0018222105899961922
0.75,1.5,0.3285837828817603,0.002096240869057742
0.8,1.6,0.3363070602778282,0.0026940288267946443
0.85,1.7,0.34462712502169734,0.0036304173680455944
0.9,1.8,0.3507313916816712,0.00319988001718145
0.95,1.9,0.35867882243288773,0.004158886507538086
