K,Kh_over_J2,sum,sum_sem
0.05,0.5,0.7722658975664878,0.0008503014461286492
0.1,1.0,0.6731136663002143,0.001026333436911171
0.15,1.5,0.6234497186952477,0.0008142147581483331
0.2,2.0,0.6602146483940798,0.0015751465319276622
0.25,2.5,0.7353566861295613,0.0021593669063993083
0.3,3.0,0.8489061047736715,0.005834020374276181
0.35,3.5,0.9092954038051283,0.008627893406816836
0.4,4.0,0.937403992367003,0.009055947902893402
0.45,4.5,0.951432730313925,0.009664528874697889
0.5,5.0,0.9601715306614977,0.010060400315365332
0.55,5.5,0.9664049052664451,0.010325713317577402
0.6,6.0,0.9706764481835632,0.0105011842473371
0.65,6.5,0.9740987064648277,0.01061773856070263
0.7,7.0,0.9766046895056171,0.010699398918704592
0.75,7.5,0.9786980220631647,0.010766963466290419
0.8,8.0,0.9803549981010506,0.010829103852740616
0.85,8.5,0.981746060227793,0.01088326880122266
0.9,9.0,0.9829650409866986,0.010920283252152715
0.95,9.5,0.9839832958635981,0.010937311354993732
