K,Kh_over_J2,q4,q4_sem
0.05,0.2,0.07953844155390066,0.00027720435318796295
0.1,0.4,0.15495141076439464,0.0005879960175897385
0.15,0.6,0.19083263820097318,0.0008640582715831408
0.2,0.8,0.2060848877551459,0.0009167331854609174
0.25,1.0,0.21544575980188155,0.0008690050533412129
0.3,1.2,0.21023182331765866,0.0006346672318926667
0.35,1.4,0.21679456284842963,0.0006734388411450736
0.4,1.6,0.23399733988041924,0.0010157071763109177
0.45,1.8,0.2599443152470787,0.0013541376445662598
0.5,2.0,0.2846520201684427,0.0016517813558364202
0.55,2.2,0.3143145888268954,0.0019493840102302483
0.6,2.4,0.34981915913574607,0.002338276380872157
0.65,2.6,0.38960026537318343,0.0028181710470747976
0.7,2.8,0.41265663717839457,0.0023523830400910095
0.75,3.0,0.42841644191193345,0.003028238936236222
0.8,3.2,0.43335020706956556,0.004770813132396341
0.85,3.4,0.43490769554392905,0.0063017220692452155
0.9,3.6,0.44976322202926644,0.007584971462853817
0.95,3.8,0.45109722894835397,0.00842490006541128
