K,Kh_over_J2,m3,m3_sem
0.05,0.30000000000000004,0.6802039774293195,0.000867999548842248
0.1,0.6000000000000001,0.53565456303176,0.0012094933759239236
0.15,0.8999999999999999,0.4607999751489786,0.0011690163150414195
0.2,1.2000000000000002,0.4062544136106693,0.0009673442593372201
0.25,1.5,0.3806150041475197,0.0010293448129559167
0.3,1.7999999999999998,0.37134253797685984,0.0015356886146021514
0.35,2.0999999999999996,0.37840237987579234,0.0020091685316741717
0.4,2.4000000000000004,0.3933967849335139,0.0024036027993347524
0.45,2.7,0.4132773281180941,0.0027412910693539318
0.5,3.0,0.4344840427204554,0.00256209271476704
0.55,3.3000000000000003,0.44724072999221254,0.003968726618934406
0.6,3.5999999999999996,0.46124371546743015,0.005601365847954338
0.65,3.9000000000000004,0.4598663082176139,0.006959992061699896
0.7,4.199999999999999,0.4582137036707777,0.007978382431457192
0.75,4.5,0.46789544815002615,0.008707534550786131
0.8,4.800000000000001,0.4717718307491888,0.009292730597391703
0.85,5.1,0.4786994939581679,0.00964007781136724
0.9,5.4,0.46565016099545087,0.009970058708218403
0.95,5.699999999999999,0.4766573078835766,0.010103363237690396
