Jt,m3_t
0.05,0.9909328809165936
0.1,0.9721326676856832
0.15000000000000002,0.9607528158699166
0.2,0.9668748661643864
0.25,0.9845994725959101
0.30000000000000004,0.9972115088197608
0.35000000000000003,0.9924401211934829
0.4,0.9741128390398426
0.45,0.9584072783542578
0.5,0.9587617735278702
0.55,0.9739106243753016
0.6000000000000001,0.9889441100486067
0.65,0.9887737244774902
0.7000000000000001,0.9723654067765376
0.75,0.9535970159189107
0.8,0.9481445777096007
0.8500000000000001,0.9594124536485507
0.9,0.9754832516726485
0.9500000000000001,0.9797472899657205
1.0,0.9664627604721097
1.05,0.9461005419359423
1.1,0.9352714128036531
1.1500000000000001,0.9416739015151505
1.2000000000000002,0.9572763474301315
1.25,0.9653591318983243
1.3,0.9560502496957385
1.35,0.9356257024708234
1.4000000000000001,0.9202707643820535
1.4500000000000002,0.9212354852319573
1.5,0.9348934451915455
1.55,0.9457993152332017
1.6,0.9408915263246066
1.6500000000000001,0.9218520721700492
1.7000000000000002,0.9031519297570986
1.75,0.8985652695966855
1.8,0.9089782596173996
1.85,0.921439440934745
1.9000000000000001,0.9209035459970365
1.9500000000000002,0.9044788586232276
2.0,0.8838220918598724
2.0500000000000003,0.8740270662652523
2.1,0.8801950321796309
2.15,0.8928063439281481
2.2,0.8961774938118667
2.25,0.8832725017720301
2.3000000000000003,0.8621174529670577
2.35,0.847864301651865
2.4000000000000004,0.8491772385853495
2.45,0.860542551563613
2.5,0.8669835889582225
2.5500000000000003,0.8581083683331178
2.6,0.8378441466420344
2.6500000000000004,0.820200952242668
2.7,0.8164839643306253
2.75,0.8253578024204709
2.8000000000000003,0.8337595010199251
2.85,0.8290018648429396
2.9000000000000004,0.8108235420341288
2.95,0.7910587138094808
3.0,0.7825687972091879
3.0500000000000003,0.7879769804328709
3.1,0.7970837997561353
3.1500000000000004,0.7961257474458436
3.2,0.7809362073564227
3.25,0.7603874776954956
3.3000000000000003,0.747764448147248
3.35,0.7490902923467578
3.4000000000000004,0.7576373646769212
3.45,0.7598121271755205
3.5,0.748159227813213
3.5500000000000003,0.7281045494265697
3.6,0.7122842186073585
3.6500000000000004,0.7093112739919701
3.7,0.7161569280588709
3.75,0.7205393871005028
3.8000000000000003,0.7125926813049924
3.85,0.6941370982655465
3.9000000000000004,0.6762391763187713
3.95,0.6691472279117499
4.0,0.6733858051352504
4.05,0.6789057555753335
4.1000000000000005,0.6744726545925137
4.15,0.6584621846442112
4.2,0.6396678234428563
4.25,0.6289850659411858
4.3,0.6300272326660048
4.3500000000000005,0.6355925395582407
4.4,0.634169944713721
4.45,0.6211393606701314
4.5,0.6025734726654665
4.55,0.5890934544494042
4.6000000000000005,0.5867054708665183
4.65,0.5913209907926252
4.7,0.59217524520825
4.75,0.5823321426671395
4.800000000000001,0.5649637295837171
4.8500000000000005,0.5496399247102509
4.9,0.5439388865444083
4.95,0.5468074129703167
5.0,0.5490729660110983
5.050000000000001,0.5423163727789355
5.1000000000000005,0.5268865175613413
5.15,0.5107195640299678
5.2,0.5021276954808708
5.25,0.5027213318763782
5.300000000000001,0.5055068154492692
5.3500000000000005,0.5014753044456084
5.4,0.4884579304433884
5.45,0.4723903905819972
5.5,0.46155706860049933
5.550000000000001,0.4596512487053836
5.6000000000000005,0.4621409092640114
5.65,0.4602828518466983
5.7,0.449878687660084
5.75,0.4347097945345271
5.800000000000001,0.4224141622170883
5.8500000000000005,0.4180816352332952
5.9,0.41962049691199343
5.95,0.419277623534213
6.0,0.41143782054376676
