Jt,q4_t
0.05,5.556444158409668e-05
0.1,0.00021943360839617363
0.15000000000000002,0.0004915266485582027
0.2,0.0008776319451006542
0.25,0.0013814847053419403
0.30000000000000004,0.002000608658808177
0.35000000000000003,0.0027185700882400177
0.4,0.003518307089732992
0.45,0.0044190384163363275
0.5,0.0054617875494141965
0.55,0.00665727284862148
0.6000000000000001,0.007974807756769472
0.65,0.009358793331761288
0.7000000000000001,0.01076798665712971
0.75,0.01224824773193067
0.8,0.013910353533142654
0.8500000000000001,0.015798838115218563
0.9,0.017840930276698072
0.9500000000000001,0.019910546115470672
1.0,0.02191792662467263
1.05,0.0239242069959476
1.1,0.026136624299966865
1.1500000000000001,0.028684739285664056
1.2000000000000002,0.03146696941211777
1.25,0.03425352431055269
1.3,0.03686794982914211
1.35,0.03935719311517119
1.4000000000000001,0.042030958412137505
1.4500000000000002,0.04516458338426108
1.5,0.04867681066918437
1.55,0.05221461558458605
1.6,0.05546534101122002
1.6500000000000001,0.05841637470631986
1.7000000000000002,0.06145942704694181
1.75,0.06506643360975575
1.8,0.06925871136262751
1.85,0.07357209838309242
1.9000000000000001,0.0775046315564097
1.9500000000000002,0.08092449397663845
2.0,0.0842594324660089
2.0500000000000003,0.08820153580747214
2.1,0.09297512876957739
2.15,0.09806229231040134
2.2,0.10272992073732534
2.25,0.10665482137831633
2.3000000000000003,0.11023373395428178
2.35,0.1143652870115997
2.4000000000000004,0.1195723507155078
2.45,0.12538860511787941
2.5,0.13083952768976628
2.5500000000000003,0.13533093596495133
2.6,0.13914471977130638
2.6500000000000004,0.14333441546393508
2.7,0.14878805668981163
2.75,0.1552324582129796
2.8000000000000003,0.16149293103963808
2.85,0.1666292682102066
2.9000000000000004,0.1707105658775726
2.95,0.17486144875546233
3.0,0.1803552001946267
3.0500000000000003,0.18726487691675756
3.1,0.19432004901672198
3.1500000000000004,0.200184064303574
3.2,0.20460427127969422
3.25,0.20866830845782083
3.3000000000000003,0.21400147205054046
3.35,0.22115692072972165
3.4000000000000004,0.22893269491785379
3.45,0.23559451233162143
3.5,0.2404557819654649
3.5500000000000003,0.2444410237083364
3.6,0.2494448142568822
3.6500000000000004,0.2565869686728864
3.7,0.26493745766090243
3.75,0.27243400017274344
3.8000000000000003,0.27785685715042907
3.85,0.2818270963075871
3.9000000000000004,0.2863865672912638
3.95,0.2932433816499594
4.0,0.3019485033321052
4.05,0.3102615399573102
4.1000000000000005,0.3163681848911114
4.15,0.32043622062931054
4.2,0.32450444063449163
4.25,0.3308221654218157
4.3,0.3395982432042015
4.3500000000000005,0.34863507315212533
4.4,0.35552845757194085
4.45,0.35984424162677203
4.5,0.36344739872828963
4.55,0.3690205966528994
4.6000000000000005,0.37754383079137244
4.65,0.38712567996043484
4.7,0.39486539439720475
4.75,0.3995997564616084
4.800000000000001,0.4028338479389626
4.8500000000000005,0.4075288601731486
4.9,0.4154681922250108
4.95,0.4253309317635704
5.0,0.43390871712658097
5.050000000000001,0.43923275519504995
5.1000000000000005,0.44225353098061554
5.15,0.4460221789298333
5.2,0.4530755981575813
5.25,0.4628851600832562
5.300000000000001,0.4722046620969843
5.3500000000000005,0.4782650097456604
5.4,0.4812727030052272
5.45,0.4841555717808111
5.5,0.4900832127013751
5.550000000000001,0.49946461871760534
5.6000000000000005,0.5093308341340833
5.65,0.516222224102027
5.7,0.5194417860166303
5.75,0.5215624429092525
5.800000000000001,0.5262110783289268
5.8500000000000005,0.5347864774690158
5.9,0.5449094198427867
5.95,0.5526479167997712
6.0,0.5563048281388788
6.050000000000001,0.557857108780697
6.1000000000000005,0.5611732403607846
6.15,0.5686020563446894
6.2,0.5786164215184373
6.25,0.5871184810608198
6.300000000000001,0.5914105070675935
6.3500000000000005,0.5926405519673483
6.4,0.5946721288203554
6.45,0.6006861808853841
6.5,0.6101849684027512
6.550000000000001,0.6192580199931809
6.6000000000000005,0.6243247307418165
6.65,0.6255084292639669
6.7,0.6263971868484435
6.75,0.6308254654998153
6.800000000000001,0.6394019261735446
6.8500000000000005,0.6487507877953032
6.9,0.6546447731659676
6.95,0.6560606317842872
7.0,0.6560275512524364
7.050000000000001,0.6588083752543659
7.1000000000000005,0.6660986253816736
7.15,0.675348840165857
7.2,0.6820142560406753
7.25,0.6839121965862434
7.300000000000001,0.68323781501322
7.3500000000000005,0.684419104306998
7.4,0.6901380026672214
7.45,0.6988730870073111
7.5,0.7061373815841061
7.550000000000001,0.7087056813816628
7.6000000000000005,0.7077057655023399
7.65,0.7074360138941087
7.7,0.7114012453122572
7.75,0.7192072875435201
7.800000000000001,0.7267900949637007
7.8500000000000005,0.7301249206282733
7.9,0.7291213992999538
7.95,0.7276341364216294
8.0,0.7297768627613029
8.05,0.7362862218762131
8.1,0.7438257660651819
8.15,0.7479093572301224
8.200000000000001,0.7471970963243986
8.25,0.744790539011581
8.3,0.7451540851820897
8.35,0.7500807099655402
8.4,0.7571737589653073
8.450000000000001,0.7618671929128057
8.5,0.7616791412963266
8.55,0.7586913341679494
8.6,0.7574210575066245
8.65,0.7605827914052349
8.700000000000001,0.7668307643160892
8.75,0.7718849222471511
8.8,0.7723605140033873
8.85,0.769139661027426
8.9,0.7664670384077618
8.950000000000001,0.767793998719909
9.0,0.7728465252266646
9.05,0.7779308638374678
9.1,0.7790940620163354
9.15,0.7759646129631298
9.200000000000001,0.772187179683115
