K,Kh_over_J2,sum,sum_sem
0.05,0.4,0.7904509277930546,0.0006059578522386473
0.1,0.8,0.7019027944684337,0.0009444661531346315
0.15,1.2,0.6339925996788547,0.0006898296687678901
0.2,1.6,0.6178803952051078,0.0008640549076174122
0.25,2.0,0.6540557355825561,0.0014147447836086
0.3,2.4,0.7222595942853957,0.0036440245640742526
0.35,2.8,0.812015679891264,0.004730314769123544
0.4,3.2,0.8859945582962536,0.006666062114465108
0.45,3.6,0.9157672707743433,0.007905260718542821
0.5,4.0,0.9330415230773516,0.008774780224422336
0.55,4.4,0.9446121434459882,0.009368340890286807
0.6,4.8,0.9523546963823865,0.009776024418410462
0.65,5.2,0.9581613181804639,0.010064620142209579
0.7,5.6,0.9624469485504895,0.010277101970826997
0.75,6.0,0.965894982619627,0.010443185548895647
0.8,6.4,0.9686690274027845,0.010572382850723351
0.85,6.8,0.9708736655642645,0.010667765425031667
0.9,7.2,0.9728579981670467,0.010731114452830454
0.95,7.6,0.9744334054807346,0.01076761835606311
